target,model,RMSE_ort,RMSE_std,MAE_ort,MAE_std,R2_ort,R2_std,R2_min,R2_max
delta_t,Temel cizgi (ortalama),2.1002,0.0,1.6766,0.0,0.0,0.0,0.0,0.0
delta_t,LightGBM,2.2268,0.05,1.8065,0.0663,-0.1246,0.0501,-0.1818,-0.0457
delta_t,XGBoost,2.2283,0.0644,1.8044,0.0586,-0.1264,0.0651,-0.2112,-0.0432
delta_t,CatBoost,2.2296,0.0709,1.815,0.0824,-0.1279,0.0721,-0.2376,-0.0364
delta_t,LSTM,2.2311,0.0711,1.8215,0.0795,-0.1294,0.0712,-0.2025,-0.0202
delta_t,CNN-LSTM,2.3062,0.0531,1.8676,0.1051,-0.2062,0.0553,-0.2651,-0.1254
delta_t,GRU,2.421,0.2129,1.9875,0.2113,-0.3369,0.2381,-0.7001,-0.0727
delta_ws,Temel cizgi (ortalama),1.9037,0.0,1.3801,0.0,0.0,0.0,0.0,0.0
delta_ws,CNN-LSTM,1.9327,0.0215,1.3427,0.0215,-0.0309,0.0228,-0.0548,0.0013
delta_ws,CatBoost,1.9491,0.0304,1.397,0.0194,-0.0485,0.0328,-0.0878,-0.0142
delta_ws,LightGBM,1.95,0.033,1.3917,0.0152,-0.0495,0.0356,-0.1014,-0.0175
delta_ws,XGBoost,1.9611,0.0361,1.3982,0.0189,-0.0615,0.0392,-0.1151,-0.0201
delta_ws,LSTM,1.9991,0.0444,1.4048,0.0769,-0.1032,0.0488,-0.1497,-0.043
delta_ws,GRU,2.0547,0.0754,1.4566,0.064,-0.1662,0.0848,-0.2351,-0.0559
